,company_name,link,position,location,deadline,condition,salary
34,싸이엔스(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40503707&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,서울 송파구,~ 08/17(화),경력무관 대졸↑,
35,다이브(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40398609&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,서울 강남구,~ 08/03(화),경력무관 초대졸↑,
36,(주)달라라네트워크,/zf_user/jobs/relay/view?view_type=search&rec_idx=40457390&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직·계약직,서울 마포구,~ 06/25(금),경력1년↑ 학력무관,
37,(주)달라라네트워크,/zf_user/jobs/relay/view?view_type=search&rec_idx=40478805&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직·계약직,서울 마포구,~ 06/29(화),경력 학력무관,
38,(주)페칭,/zf_user/jobs/relay/view?view_type=search&rec_idx=40396553&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직·계약직,서울 강남구,~ 08/03(화),경력무관 학력무관,
39,(주)페칭,/zf_user/jobs/relay/view?view_type=search&rec_idx=40396554&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직·계약직,서울 강남구,~ 08/03(화),경력무관 학력무관,
40,심플로지스(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40460161&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,인천 미추홀구,~ 07/15(목),경력 5~10년 학력무관,
41,(주)스카우트플랜,/zf_user/jobs/relay/view?view_type=search&rec_idx=40488890&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,서울 강남구,~ 06/30(수),경력3년↑ 학력무관,"10,000 만원"
42,(주)오내피플,/zf_user/jobs/relay/view?view_type=search&rec_idx=40490198&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,서울 강서구,~ 07/31(토),경력5년↑ 학력무관,
43,(주)라이터스컴퍼니,/zf_user/jobs/relay/view?view_type=search&rec_idx=40322876&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직·계약직,서울 마포구,~ 07/24(토),경력무관 초대졸↑,
44,(주)맵시,/zf_user/jobs/relay/view?view_type=search&rec_idx=40393046&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,서울 마포구,채용시,신입 대졸↑,250 만원
45,코리아크래프트비어(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40448232&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,충북 음성군,~ 08/09(월),경력무관 학력무관,
46,(주)맵시,/zf_user/jobs/relay/view?view_type=search&rec_idx=40447628&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직·계약직,서울 마포구,채용시,경력무관 학력무관,210 만원
47,코리아크래프트비어(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40448228&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,충북 음성군,~ 08/09(월),경력무관 학력무관,
48,앱클론(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40127019&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직·계약직,서울 구로구,~ 06/22(화),신입·경력 초대졸↑,
49,브레싱스(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40154368&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,서울 강남구,~ 07/02(금),경력무관 고졸↑,
50,브레싱스(주),/zf_user/jobs/relay/view?view_type=search&rec_idx=40176095&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,서울 강남구,~ 07/04(일),경력 대졸↑,
51,(주)케이디아이덴,/zf_user/jobs/relay/view?view_type=search&rec_idx=40088362&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직·계약직,서울 마포구,채용시,경력무관 학력무관,
52,78컴퍼니,/zf_user/jobs/relay/view?view_type=search&rec_idx=40508661&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,서울 금천구,오늘마감,경력무관 학력무관,
53,(주)부에노컴퍼니,/zf_user/jobs/relay/view?view_type=search&rec_idx=40265539&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,경남 김해시,채용시,경력2년↑ 초대졸↑,
54,해킷,/zf_user/jobs/relay/view?view_type=search&rec_idx=40120007&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,부산 금정구,상시채용,경력2년↑ 학력무관,
55,주식회사 기프티스타,/zf_user/jobs/relay/view?view_type=search&rec_idx=40120662&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,서울 영등포구,채용시,경력 학력무관,"5,000~6,000"
56,(주)부에노컴퍼니,/zf_user/jobs/relay/view?view_type=search&rec_idx=40349957&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직·계약직,경남 김해시,채용시,신입·경력 초대졸↑,
57,올웨이즈코퍼레이션,/zf_user/jobs/relay/view?view_type=search&rec_idx=40395986&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,인천 계양구,~ 07/03(토),경력무관 초대졸↑,
58,올웨이즈코퍼레이션,/zf_user/jobs/relay/view?view_type=search&rec_idx=40396024&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,인천 계양구,~ 07/03(토),경력무관 초대졸↑,
59,(주)올집플랫폼,/zf_user/jobs/relay/view?view_type=search&rec_idx=40448874&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,서울 강북구,오늘마감,경력3년↑ 초대졸↑,"7,000 만원"
60,(주)퀀텀인텔리전스,/zf_user/jobs/relay/view?view_type=search&rec_idx=40457659&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,서울 영등포구,~ 07/31(토),경력 1~8년 석사↑,"6,000~7,000"
61,(주)부에노컴퍼니,/zf_user/jobs/relay/view?view_type=search&rec_idx=40496770&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직·계약직,경남 김해시,채용시,경력 초대졸↑,
62,(주)케이디아이덴,/zf_user/jobs/relay/view?view_type=search&rec_idx=40088393&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직·계약직,서울 마포구,채용시,경력무관 학력무관,
63,(주)케이디아이덴,/zf_user/jobs/relay/view?view_type=search&rec_idx=40313113&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직·계약직,서울 마포구,채용시,경력무관 학력무관,
64,(주)비긴메이트,/zf_user/jobs/relay/view?view_type=search&rec_idx=40167579&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,서울 강남구,~ 07/03(토),경력1년↑ 학력무관,
65,(주)비긴메이트,/zf_user/jobs/relay/view?view_type=search&rec_idx=40167596&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,서울 강남구,~ 07/03(토),경력1년↑ 학력무관,
66,(주)비긴메이트,/zf_user/jobs/relay/view?view_type=search&rec_idx=40167563&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,서울 강남구,~ 07/03(토),경력1년↑ 학력무관,
67,(주)비긴메이트,/zf_user/jobs/relay/view?view_type=search&rec_idx=40167587&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,서울 강남구,~ 07/03(토),경력1년↑ 학력무관,
68,(주)액토즈소프트,/zf_user/jobs/relay/view?view_type=search&rec_idx=40258359&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,서울 강남구,채용시,경력1년↑ 대졸↑,
69,(주)액토즈소프트,/zf_user/jobs/relay/view?view_type=search&rec_idx=40447333&location=ts&searchword=nest&searchType=search&paid_fl=n,계약직,서울 강남구,채용시,신입·경력 초대졸↑,
70,(주)스마트더블유종합건설,/zf_user/jobs/relay/view?view_type=search&rec_idx=40458250&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,서울 강북구,~ 06/30(수),경력5년↑ 대졸↑,
71,(주)탐앤탐스,/zf_user/jobs/relay/view?view_type=search&rec_idx=40182960&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직·계약직,서울 강남구,~ 07/06(화),경력무관 고졸↑,"2,400~2,600"
72,(주)탐앤탐스,/zf_user/jobs/relay/view?view_type=search&rec_idx=40391103&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직·계약직,서울 강남구,~ 08/02(월),경력무관 고졸↑,"2,400~2,600"
73,(주)탐앤탐스,/zf_user/jobs/relay/view?view_type=search&rec_idx=40390798&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직·계약직,서울 강남구,~ 08/02(월),경력무관 고졸↑,"2,400~2,600"
74,(주)탐앤탐스,/zf_user/jobs/relay/view?view_type=search&rec_idx=40464381&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직·계약직,서울 강남구,~ 08/13(금),경력무관 고졸↑,"2,400~2,600"
75,(주)형제철강레이져,/zf_user/jobs/relay/view?view_type=search&rec_idx=40258254&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,경기 광주시,~ 07/16(금),경력 학력무관,
76,주식회사 주택,/zf_user/jobs/relay/view?view_type=search&rec_idx=40469503&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직·계약직,대전 유성구,~ 07/14(수),경력무관 학력무관,
77,(주)올집플랫폼,/zf_user/jobs/relay/view?view_type=search&rec_idx=40458202&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,서울 강북구,~ 06/30(수),경력3년↑ 초대졸↑,
78,(주)팩트인베스트,/zf_user/jobs/relay/view?view_type=search&rec_idx=40228396&location=ts&searchword=nest&searchType=search&paid_fl=n,정규직,서울 강남구,~ 07/11(일),경력무관 학력무관,"3,800 만원"
